Generator type,File,Solver solution,Solver bound,Skyline,Skyline sorted,Concat,Annealing skyline,NFD,Annealing o-tree
random,data/random/random_10_0.txt,17.12%,17.12%,17.12%,17.12%,14.32%,17.12%,17.12%,17.12%
random,data/random/random_20_0.txt,34.60%,34.60%,34.60%,34.60%,34.60%,34.60%,34.60%,34.60%
random,data/random/random_50_0.txt,78.19%,78.19%,78.19%,78.19%,78.19%,78.19%,78.19%,78.19%
random,data/random/random_100_0.txt,82.66%,152.85%,99.07%,99.71%,99.12%,100.00%,92.48%,78.03%
guillotine_rand,data/random/guillotine_rand_10_0.txt,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,69.54%,71.02%
guillotine_rand,data/random/guillotine_rand_20_0.txt,96.32%,100.00%,77.42%,92.25%,98.13%,98.57%,77.87%,85.78%
guillotine_rand,data/random/guillotine_rand_50_0.txt,91.03%,100.00%,95.10%,97.14%,89.74%,99.65%,77.41%,80.17%
guillotine_rand,data/random/guillotine_rand_100_0.txt,82.61%,100.00%,96.36%,95.69%,93.52%,100.00%,81.17%,65.76%
guillotine_equal,data/random/guillotine_equal_10_0.txt,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,66.63%,69.20%
guillotine_equal,data/random/guillotine_equal_20_0.txt,95.38%,100.00%,87.68%,90.42%,83.54%,100.00%,79.55%,82.04%
guillotine_equal,data/random/guillotine_equal_50_0.txt,90.36%,100.00%,89.40%,95.60%,93.05%,99.50%,63.85%,75.44%
guillotine_equal,data/random/guillotine_equal_100_0.txt,76.76%,100.00%,93.10%,96.84%,95.80%,100.00%,67.85%,65.53%
guillotine_max,data/random/guillotine_max_10_0.txt,100.00%,100.00%,88.30%,84.88%,100.00%,100.00%,84.88%,74.44%
guillotine_max,data/random/guillotine_max_20_0.txt,97.12%,100.00%,82.90%,93.82%,86.68%,100.00%,79.81%,80.47%
guillotine_max,data/random/guillotine_max_50_0.txt,89.54%,100.00%,92.41%,94.94%,92.26%,99.52%,83.56%,79.14%
guillotine_max,data/random/guillotine_max_100_0.txt,85.43%,100.00%,96.39%,96.85%,96.71%,100.00%,86.84%,71.80%
random,data/random/random_10_1.txt,95.75%,95.75%,73.13%,90.76%,81.97%,95.75%,78.06%,78.91%
random,data/random/random_20_1.txt,96.84%,101.43%,94.16%,96.56%,86.51%,99.43%,83.29%,78.89%
random,data/random/random_50_1.txt,90.23%,100.79%,89.54%,96.01%,93.99%,99.85%,90.89%,87.91%
random,data/random/random_100_1.txt,78.19%,99.57%,95.58%,98.44%,94.30%,99.57%,88.15%,68.67%
